Prob_N,Model_N,F1,F2,c,T,Sample,Obj_F,Total Solving Time (TST),CPLEX solving time (CST); ,Solv_Status,T_stage,DP Estimated Solving Time (DEST)
1,M_Agg,400,1200,2,90,1,2982146,0.843277931,0.781921387,optimal,-,-
1,TPM,400,1200,2,90,1,2982146,3.242319584,2.916768312,optimal,-,-
1,TPM_m,400,1200,2,90,1,2982146,1.015441557,0.928705215,optimal,-,-
1,FAL,400,1200,2,90,1,2982146,6.951302528,6.711978436,optimal,-,-
1,SHP,400,1200,2,90,1,2982146,13.48403716,13.33014441,optimal,-,-
1,weakl,400,1200,2,90,1,2982146,37.04222611,1.002057552,optimal,54,60.07
1,envl,400,1200,2,90,1,2982146,36.62984803,0.580236435,optimal,54,60.08
1,weakenvl,400,1200,2,90,1,2982146,37.31018594,1.234198332,optimal,54,60.13
2,M_Agg,400,1200,2,90,2,3031218,0.596982479,0.549599409,optimal,-,-
2,TPM,400,1200,2,90,2,3031218,3.975626945,3.655215263,optimal,-,-
2,TPM_m,400,1200,2,90,2,3031218,1.07165621,0.994281769,optimal,-,-
2,FAL,400,1200,2,90,2,3031218,11.71364403,11.49792171,optimal,-,-
2,SHP,400,1200,2,90,2,3031218,17.23000908,17.08174443,optimal,-,-
2,weakl,400,1200,2,90,2,3031218,39.34579087,0.828226566,optimal,54,64.2
2,envl,400,1200,2,90,2,3031218,39.39538837,0.865643978,optimal,54,64.22
2,weakenvl,400,1200,2,90,2,3031218,39.38721681,0.852143526,optimal,54,64.23
3,M_Agg,400,1200,2,90,3,2957363,0.389719725,0.336580515,optimal,-,-
3,TPM,400,1200,2,90,3,2957363,2.547305346,2.22883606,optimal,-,-
3,TPM_m,400,1200,2,90,3,2957363,0.943435447,0.858604193,optimal,-,-
3,FAL,400,1200,2,90,3,2957363,5.285800695,5.060027838,optimal,-,-
3,SHP,400,1200,2,90,3,2957363,8.964028835,8.815169573,optimal,-,-
3,weakl,400,1200,2,90,3,2957363,34.38846747,0.701090813,optimal,54,56.15
3,envl,400,1200,2,90,3,2957363,34.37769667,0.684225082,optimal,54,56.16
3,weakenvl,400,1200,2,90,3,2957363,34.49053613,0.786967278,optimal,54,56.17
4,M_Agg,400,1200,2,90,4,3045894,1.311043978,1.258444786,optimal,-,-
4,TPM,400,1200,2,90,4,3045894,4.569781542,4.250597,optimal,-,-
4,TPM_m,400,1200,2,90,4,3045894,1.852869643,1.777466536,optimal,-,-
4,FAL,400,1200,2,90,4,3045894,12.00911856,11.7870214,optimal,-,-
4,SHP,400,1200,2,90,4,3045894,39.27065063,39.1102941,optimal,-,-
4,weakl,400,1200,2,90,4,3045894,40.50240144,1.405698538,optimal,54,65.16
4,envl,400,1200,2,90,4,3045894,39.98585424,0.882932186,optimal,54,65.17
4,weakenvl,400,1200,2,90,4,3045894,40.78731689,1.660176039,optimal,54,65.21
5,M_Agg,400,1200,2,100,1,3479208,1.448246479,1.40125823,optimal,-,-
5,TPM,400,1200,2,100,1,3479208,10.94821858,10.54371309,optimal,-,-
5,TPM_m,400,1200,2,100,1,3479208,2.45867147,2.373055696,optimal,-,-
5,FAL,400,1200,2,100,1,3479208,15.02858496,14.73100567,optimal,-,-
5,SHP,400,1200,2,100,1,3479208,177.0312071,176.8536258,optimal,-,-
